Nodes;Dim;Test;Job;JobId;Alias;Feature;Worker;Duration
3;500;1;1;1485784300641_0022;A,B,matrix1,matrix2;HASH_JOIN;ma;165
3;500;1;1;1485784300641_0022;A,B,matrix1,matrix2;HASH_JOIN;w1;180
3;500;1;1;1485784300641_0022;A,B,matrix1,matrix2;HASH_JOIN;w2;164
3;500;1;2;1485784300641_0023;C,multiplied_matrices;GROUP_BY,COMBINER;ma;512
3;500;1;2;1485784300641_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w1;525
3;500;1;2;1485784300641_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w2;512
3;500;2;1;1485784300641_0024;A,B,matrix1,matrix2;HASH_JOIN;ma;149
3;500;2;1;1485784300641_0024;A,B,matrix1,matrix2;HASH_JOIN;w1;162
3;500;2;1;1485784300641_0024;A,B,matrix1,matrix2;HASH_JOIN;w2;143
3;500;2;2;1485784300641_0025;C,multiplied_matrices;GROUP_BY,COMBINER;ma;387
3;500;2;2;1485784300641_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w1;389
3;500;2;2;1485784300641_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w2;401
3;500;3;1;1485784300641_0026;A,B,matrix1,matrix2;HASH_JOIN;ma;191
3;500;3;1;1485784300641_0026;A,B,matrix1,matrix2;HASH_JOIN;w1;175
3;500;3;1;1485784300641_0026;A,B,matrix1,matrix2;HASH_JOIN;w2;181
3;500;3;2;1485784300641_0027;C,multiplied_matrices;GROUP_BY,COMBINER;ma;518
3;500;3;2;1485784300641_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w1;533
3;500;3;2;1485784300641_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w2;519
3;500;4;1;1485784300641_0028;A,B,matrix1,matrix2;HASH_JOIN;ma;140
3;500;4;1;1485784300641_0028;A,B,matrix1,matrix2;HASH_JOIN;w1;142
3;500;4;1;1485784300641_0028;A,B,matrix1,matrix2;HASH_JOIN;w2;154
3;500;4;2;1485784300641_0029;C,multiplied_matrices;GROUP_BY,COMBINER;ma;509
3;500;4;2;1485784300641_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w1;523
3;500;4;2;1485784300641_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w2;509
3;500;5;1;1485784300641_0030;A,B,matrix1,matrix2;HASH_JOIN;ma;199
3;500;5;1;1485784300641_0030;A,B,matrix1,matrix2;HASH_JOIN;w1;191
3;500;5;1;1485784300641_0030;A,B,matrix1,matrix2;HASH_JOIN;w2;185
3;500;5;2;1485784300641_0031;C,multiplied_matrices;GROUP_BY,COMBINER;ma;536
3;500;5;2;1485784300641_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w1;530
3;500;5;2;1485784300641_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w2;531
3;500;6;1;1485784300641_0032;A,B,matrix1,matrix2;HASH_JOIN;ma;143
3;500;6;1;1485784300641_0032;A,B,matrix1,matrix2;HASH_JOIN;w1;156
3;500;6;1;1485784300641_0032;A,B,matrix1,matrix2;HASH_JOIN;w2;135
3;500;6;2;1485784300641_0033;C,multiplied_matrices;GROUP_BY,COMBINER;ma;529
3;500;6;2;1485784300641_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w1;544
3;500;6;2;1485784300641_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w2;529
3;500;7;1;1485784300641_0034;A,B,matrix1,matrix2;HASH_JOIN;ma;126
3;500;7;1;1485784300641_0034;A,B,matrix1,matrix2;HASH_JOIN;w1;139
3;500;7;1;1485784300641_0034;A,B,matrix1,matrix2;HASH_JOIN;w2;151
3;500;7;2;1485784300641_0035;C,multiplied_matrices;GROUP_BY,COMBINER;ma;493
3;500;7;2;1485784300641_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w1;507
3;500;7;2;1485784300641_0035;C,multiplied_matrices;GROUP_BY,COMBINER;w2;493
3;500;8;1;1485784300641_0036;A,B,matrix1,matrix2;HASH_JOIN;ma;194
3;500;8;1;1485784300641_0036;A,B,matrix1,matrix2;HASH_JOIN;w1;189
3;500;8;1;1485784300641_0036;A,B,matrix1,matrix2;HASH_JOIN;w2;182
3;500;8;2;1485784300641_0037;C,multiplied_matrices;GROUP_BY,COMBINER;ma;508
3;500;8;2;1485784300641_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w1;521
3;500;8;2;1485784300641_0037;C,multiplied_matrices;GROUP_BY,COMBINER;w2;509
3;500;9;1;1485784300641_0038;A,B,matrix1,matrix2;HASH_JOIN;ma;146
3;500;9;1;1485784300641_0038;A,B,matrix1,matrix2;HASH_JOIN;w1;161
3;500;9;1;1485784300641_0038;A,B,matrix1,matrix2;HASH_JOIN;w2;173
3;500;9;2;1485784300641_0039;C,multiplied_matrices;GROUP_BY,COMBINER;ma;488
3;500;9;2;1485784300641_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w1;501
3;500;9;2;1485784300641_0039;C,multiplied_matrices;GROUP_BY,COMBINER;w2;487
3;500;10;1;1485784300641_0040;A,B,matrix1,matrix2;HASH_JOIN;ma;155
3;500;10;1;1485784300641_0040;A,B,matrix1,matrix2;HASH_JOIN;w1;169
3;500;10;1;1485784300641_0040;A,B,matrix1,matrix2;HASH_JOIN;w2;148
3;500;10;2;1485784300641_0041;C,multiplied_matrices;GROUP_BY,COMBINER;ma;518
3;500;10;2;1485784300641_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w1;509
3;500;10;2;1485784300641_0041;C,multiplied_matrices;GROUP_BY,COMBINER;w2;510
4;500;1;1;1485864406671_0022;A,B,matrix1,matrix2;HASH_JOIN;ma;132
4;500;1;1;1485864406671_0022;A,B,matrix1,matrix2;HASH_JOIN;w1;185
4;500;1;1;1485864406671_0022;A,B,matrix1,matrix2;HASH_JOIN;w2;145
4;500;1;1;1485864406671_0022;A,B,matrix1,matrix2;HASH_JOIN;w3;131
4;500;1;2;1485864406671_0023;C,multiplied_matrices;GROUP_BY,COMBINER;ma;367
4;500;1;2;1485864406671_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w1;382
4;500;1;2;1485864406671_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w2;367
4;500;1;2;1485864406671_0023;C,multiplied_matrices;GROUP_BY,COMBINER;w3;368
4;500;2;1;1485864406671_0024;A,B,matrix1,matrix2;HASH_JOIN;ma;135
4;500;2;1;1485864406671_0024;A,B,matrix1,matrix2;HASH_JOIN;w1;149
4;500;2;1;1485864406671_0024;A,B,matrix1,matrix2;HASH_JOIN;w2;129
4;500;2;1;1485864406671_0024;A,B,matrix1,matrix2;HASH_JOIN;w3;136
4;500;2;2;1485864406671_0025;C,multiplied_matrices;GROUP_BY,COMBINER;ma;386
4;500;2;2;1485864406671_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w1;388
4;500;2;2;1485864406671_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w2;386
4;500;2;2;1485864406671_0025;C,multiplied_matrices;GROUP_BY,COMBINER;w3;406
4;500;3;1;1485864406671_0026;A,B,matrix1,matrix2;HASH_JOIN;ma;134
4;500;3;1;1485864406671_0026;A,B,matrix1,matrix2;HASH_JOIN;w1;127
4;500;3;1;1485864406671_0026;A,B,matrix1,matrix2;HASH_JOIN;w2;126
4;500;3;1;1485864406671_0026;A,B,matrix1,matrix2;HASH_JOIN;w3;147
4;500;3;2;1485864406671_0027;C,multiplied_matrices;GROUP_BY,COMBINER;ma;320
4;500;3;2;1485864406671_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w1;320
4;500;3;2;1485864406671_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w2;337
4;500;3;2;1485864406671_0027;C,multiplied_matrices;GROUP_BY,COMBINER;w3;322
4;500;4;1;1485864406671_0028;A,B,matrix1,matrix2;HASH_JOIN;ma;118
4;500;4;1;1485864406671_0028;A,B,matrix1,matrix2;HASH_JOIN;w1;116
4;500;4;1;1485864406671_0028;A,B,matrix1,matrix2;HASH_JOIN;w2;130
4;500;4;1;1485864406671_0028;A,B,matrix1,matrix2;HASH_JOIN;w3;143
4;500;4;2;1485864406671_0029;C,multiplied_matrices;GROUP_BY,COMBINER;ma;347
4;500;4;2;1485864406671_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w1;346
4;500;4;2;1485864406671_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w2;347
4;500;4;2;1485864406671_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w3;361
4;500;5;1;1485864406671_0030;A,B,matrix1,matrix2;HASH_JOIN;ma;135
4;500;5;1;1485864406671_0030;A,B,matrix1,matrix2;HASH_JOIN;w1;134
4;500;5;1;1485864406671_0030;A,B,matrix1,matrix2;HASH_JOIN;w2;148
4;500;5;1;1485864406671_0030;A,B,matrix1,matrix2;HASH_JOIN;w3;128
4;500;5;2;1485864406671_0031;C,multiplied_matrices;GROUP_BY,COMBINER;ma;393
4;500;5;2;1485864406671_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w1;393
4;500;5;2;1485864406671_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w2;395
4;500;5;2;1485864406671_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w3;408
4;500;6;1;1485864406671_0032;A,B,matrix1,matrix2;HASH_JOIN;ma;154
4;500;6;1;1485864406671_0032;A,B,matrix1,matrix2;HASH_JOIN;w1;157
4;500;6;1;1485864406671_0032;A,B,matrix1,matrix2;HASH_JOIN;w2;148
4;500;6;1;1485864406671_0032;A,B,matrix1,matrix2;HASH_JOIN;w3;167
4;500;6;2;1485864406671_0033;C,multiplied_matrices;GROUP_BY,COMBINER;ma;388
4;500;6;2;1485864406671_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w1;388
4;500;6;2;1485864406671_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w2;389
4;500;6;2;1485864406671_0033;C,multiplied_matrices;GROUP_BY,COMBINER;w3;401
4;500;7;1;1485864406671_0034;A,B,matrix1,matrix2;HASH_JOIN;ma;175
4;500;7;1;1485864406671_0034;A,B,matrix1,matrix2;HASH_JOIN;w1;156
